Metric,Without Clouds,Cloudy
Sharpness (Laplacian),419.3412549114796,452.4011552406815
Contrast (Std Dev),97.81482733902203,100.30383378859197
SSIM,1.0,0.7854698656287943
PSNR (dB),33.24065910482076,33.24065910482076
